STA 0's location: [-102.91151116733771, -672.2009169439095]
STA 1's location: [855.0089410621816, 286.76631214212296]
STA 2's location: [-140.1378322247073, -725.6314853483742]
STA 3's location: [290.5312556581836, -816.6276125352165]
STA 4's location: [586.2349531053821, 355.77781184608574]
STA 5's location: [511.73620716882385, 239.28710683718228]
STA 6's location: [560.1954293798046, 86.8605322574227]
STA 7's location: [-188.795051748568, -304.4620216873418]
STA 8's location: [528.2181353198339, 387.4212610142621]
STA 9's location: [304.96345482789764, -864.4121083486731]
STA 10's location: [161.87426762046755, -486.9990007033422]
STA 11's location: [242.502396935456, -570.6906121026112]
STA 12's location: [282.8257166562033, -928.4360007881445]
STA 13's location: [-826.6028115551729, -128.50643383755897]
STA 14's location: [114.03833624347159, 978.1958422539839]
STA 15's location: [-406.7265305261348, -32.51976618377711]
STA 16's location: [-467.5713974147252, 740.1677664448739]
STA 17's location: [510.73797017027664, -735.3554715312338]
STA 18's location: [-850.1923175990678, -308.9713761252137]
STA 19's location: [-422.4552919807237, 147.52742072564646]
STA 20's location: [335.1073197471971, -687.5376720542129]
STA 21's location: [715.0154324013063, -580.8017979383953]
STA 22's location: [474.1027737899466, -298.90006304175586]
STA 23's location: [888.622460144778, -60.619476428756315]
STA 24's location: [821.7278273295093, -76.54550717231608]
STA 25's location: [-566.3953733435427, 467.50854113365034]
STA 26's location: [-928.0156806180432, -63.535017326503805]
STA 27's location: [-339.442072240914, -902.4130529478292]
STA 28's location: [-354.2336343953629, -858.2849626747486]
STA 29's location: [-342.4570931332289, -90.5985662949127]
STA 30's location: [653.6197399903627, -529.6139900081989]
STA 31's location: [230.18176919790042, 470.1530470183295]
STA 32's location: [-8.53983604537028, 956.5715697395246]
STA 33's location: [-492.28987154030756, -717.7709714988232]
STA 34's location: [-875.5859718694084, -345.70413396263143]
STA 35's location: [-216.72364416915678, -729.4583503768727]
STA 36's location: [465.84156385656684, 762.4330347776785]
STA 37's location: [507.579121677503, -767.1980057016219]
STA 38's location: [-874.8545470445814, 319.6765421538426]
STA 39's location: [261.012434609254, 443.72140684381253]
STA 40's location: [964.2349911008437, 263.609159136587]
STA 41's location: [-717.5977324159071, -366.7251505828289]
STA 42's location: [610.8331058594214, -251.29773126777113]
STA 43's location: [712.8195745014692, -466.81836104271173]
STA 44's location: [-2.8835572657261674, -742.3800838981894]
STA 45's location: [530.7251146216595, -401.7143846405123]
